time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-21T06:30:25.319Z,69.5661,-144.2408,0,2.6,ml,,,,0.78,ak,ak0196haj0ou,2019-05-21T06:36:23.672Z,"67km SSW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2019-05-21T06:01:17.550Z,62.4301,-151.1067,70.8,2.5,ml,,,,0.73,ak,ak0196hacs94,2019-05-21T06:07:57.476Z,"52km WNW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-05-21T05:01:06.031Z,66.8356,-152.7693,0,2.8,ml,,,,0.64,ak,ak0196h9rbsv,2019-05-21T05:06:12.931Z,"33km N of New Allakaket, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-05-21T04:04:40.009Z,-2.7447,150.136,10,4.9,mb,,98,2.482,1.7,us,us70003nu3,2019-05-21T04:44:39.040Z,"75km WSW of Kavieng, Papua New Guinea",earthquake,8.2,1.9,0.047,143,reviewed,us,us
2019-05-21T03:45:12.361Z,75.5505,110.1839,10,4.8,mb,,42,6.564,0.81,us,us70003ntt,2019-05-21T04:20:11.040Z,"173km NNW of Nordvik, Russia",earthquake,9.6,1.9,0.033,287,reviewed,us,us
2019-05-21T03:45:11.290Z,19.4319992,-155.6015015,-2.96,2.61,ml,44,44,0.01976,0.26,hv,hv70962241,2019-05-21T03:50:52.250Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake,0.3,0.3,2.46,27,automatic,hv,hv
2019-05-21T03:22:15.380Z,59.6734,-153.0489,96.7,2.6,ml,,,,0.49,ak,ak0196h8oyn5,2019-05-21T03:28:59.023Z,"69km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-21T03:12:55.782Z,61.4621,-149.64,43.6,3.6,ml,,,,0.94,ak,ak0196h8mxap,2019-05-21T06:36:16.310Z,"6km SSW of Knik-Fairview, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-05-21T02:36:02.780Z,19.324667,-155.1419983,4.3,2.54,ml,18,130,0.04048,0.18,hv,hv70962156,2019-05-21T02:41:43.220Z,"15km SE of Volcano, Hawaii",earthquake,0.54,1.5,0.18,4,automatic,hv,hv
2019-05-20T23:55:29.881Z,56.218,-149.9599,10,2.7,ml,,291,2.092,1.02,us,us70003nsx,2019-05-21T02:43:56.040Z,"229km SE of Kodiak, Alaska",earthquake,4.9,2,0.081,20,reviewed,us,us
2019-05-20T22:50:38.540Z,19.4258333,-155.6138333,-1.26,2.76,ml,49,77,0.02639,0.16,hv,hv70961751,2019-05-20T23:58:49.210Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,0.23,0.39,0.166,42,reviewed,hv,hv
2019-05-20T22:41:54.830Z,19.4263333,-155.6115,-2.79,2.81,ml,44,76,0.02667,0.14,hv,hv70961731,2019-05-20T23:38:25.810Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,0.24,0.22,0.146,41,reviewed,hv,hv
2019-05-20T22:14:26.770Z,18.9708,-66.8026,11,2.73,md,7,296,0.5904,0.19,pr,pr2019140009,2019-05-21T00:43:28.659Z,"53km N of Hatillo, Puerto Rico",earthquake,1.85,2.68,0.22,5,reviewed,pr,pr
2019-05-20T21:22:05.540Z,49.111,-112.8425,13.96,2.91,ml,19,150,0.586,0.68,mb,mb80344784,2019-05-20T21:52:54.070Z,"34km ESE of Cardston, Canada",earthquake,5.91,6.69,0.201,6,reviewed,mb,mb
2019-05-20T20:55:56.770Z,19.1898,-65.1626,58,3.42,md,8,331,1.2525,0.27,pr,pr2019140008,2019-05-21T00:42:50.867Z,"96km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.95,8.31,0.05,4,reviewed,pr,pr
2019-05-20T20:35:56.830Z,48.23,-124.344833333333,36.96,2.45,ml,20,63,,0.29,uw,uw61523596,2019-05-20T20:47:50.510Z,"25km SE of Neah Bay, Washington",earthquake,0.68,1.15,0.0991091026619104,15,reviewed,uw,uw
2019-05-20T19:19:07.929Z,59.8385,-153.3275,120.4,2.6,ml,,,,0.68,ak,ak0196funwu9,2019-05-20T19:29:21.732Z,"79km SSW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-20T19:01:22.520Z,40.5336667,-124.0213333,22.31,2.5,md,27,42,0.09938,0.12,nc,nc73184416,2019-05-21T01:35:02.471Z,"7km ESE of Hydesville, CA",earthquake,0.25,0.45,0.192,26,reviewed,nc,nc
2019-05-20T19:00:44.270Z,40.5373333,-124.0328333,22.6,2.56,md,29,42,0.1024,0.14,nc,nc73184411,2019-05-21T01:50:03.563Z,"6km ESE of Hydesville, CA",earthquake,0.29,0.45,0.153,35,reviewed,nc,nc
2019-05-20T18:40:29.660Z,19.2006,-66.2375,25,3.05,md,6,311,0.7802,0.3,pr,pr2019140007,2019-05-20T21:54:04.207Z,"81km N of Brenas, Puerto Rico",earthquake,1.93,18.94,0.05,2,reviewed,pr,pr
2019-05-20T14:15:34.650Z,18.8501663,-155.1531677,11.7,2.48,ml,57,263,0.4215,0.24,hv,hv70961111,2019-05-20T14:21:15.770Z,"52km SE of Pahala, Hawaii",earthquake,2.1,2.37,0.29,5,automatic,hv,hv
2019-05-20T13:30:57.675Z,62.9886,-151.0363,122.9,3.4,ml,,,,0.44,ak,ak0196fr5rv4,2019-05-21T03:30:37.381Z,"88km NNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-20T13:12:01.520Z,18.1978,-68.2666,85,2.63,md,9,200,0.8093,0.47,pr,pr2019140005,2019-05-20T17:16:35.825Z,"41km ESE of Boca de Yuma, Dominican Republic",earthquake,5.56,3.08,0.4,5,reviewed,pr,pr
2019-05-20T13:03:18.350Z,32.9741667,-116.2805,4.29,2.59,ml,96,44,0.1447,0.19,ci,ci38600016,2019-05-20T21:41:07.634Z,"23km SW of Ocotillo Wells, CA",earthquake,0.12,0.56,0.16,26,reviewed,ci,ci
2019-05-20T11:28:48.513Z,50.1702,-179.5923,13.4,2.7,ml,,,,0.43,ak,ak0196fpyl1u,2019-05-20T19:00:09.416Z,"126km SSW of Amatignak Island, Alaska",earthquake,,6.9,,,reviewed,ak,ak
2019-05-20T11:18:32.757Z,-31.4861,-69.8663,102.26,5.6,mww,,26,0.955,1.14,us,us70003nha,2019-05-21T02:29:57.357Z,"46km WSW of Calingasta, Argentina",earthquake,6,4.1,0.071,19,reviewed,us,us
2019-05-20T11:15:44.380Z,40.437,-125.2878333,24.34,3,ml,54,273,0.7262,0.19,nc,nc73184251,2019-05-21T04:18:03.571Z,"86km W of Petrolia, CA",earthquake,1.22,10.38,0.21,10,reviewed,nc,nc
2019-05-20T10:18:04.270Z,52.8008,-172.4452,165.96,4.5,mb,,152,1.227,1.19,us,us70003ngw,2019-05-21T06:20:35.040Z,"87km WNW of Amukta Island, Alaska",earthquake,8.7,9.9,0.035,232,reviewed,us,us
2019-05-20T09:27:32.957Z,7.6231,-37.3755,10,4.8,mb,,84,13.443,0.73,us,us70003ngr,2019-05-20T09:50:28.040Z,"Central Mid-Atlantic Ridge",earthquake,11.2,1.9,0.077,52,reviewed,us,us
2019-05-20T08:39:22.710Z,18.1691,-67.3576,17,2.83,md,17,208,0.2181,0.33,pr,pr2019140003,2019-05-20T08:52:39.445Z,"20km WNW of Puerto Real, Puerto Rico",earthquake,1.14,0.88,0.38,16,reviewed,pr,pr
2019-05-20T07:34:11.427Z,-18.1965,167.7434,10,4.6,mb,,112,4.043,0.67,us,us70003nn6,2019-05-20T23:00:02.297Z,"79km SW of Port-Vila, Vanuatu",earthquake,7.9,1.9,0.141,15,reviewed,us,us
2019-05-20T06:58:55.072Z,36.3323,71.2423,100.82,4.4,mb,,75,1.241,0.65,us,us70003nfh,2019-05-20T13:23:51.040Z,"46km SW of Ashkasham, Afghanistan",earthquake,7.2,6.4,0.075,51,reviewed,us,us
2019-05-20T06:20:35.441Z,19.1179,120.3863,10,4.9,mb,,64,3.737,1.16,us,us70003nf7,2019-05-20T12:54:55.040Z,"72km NNW of Burgos, Philippines",earthquake,8.9,1.9,0.046,151,reviewed,us,us
2019-05-20T06:02:15.143Z,-6.8279,154.6331,10,5.1,mww,,91,3.592,0.97,us,us70003nf1,2019-05-20T06:22:50.040Z,"109km WSW of Panguna, Papua New Guinea",earthquake,4.5,1.9,0.073,18,reviewed,us,us
2019-05-20T04:52:42.962Z,2.5169,128.2814,10,4.6,mb,,116,1.959,0.87,us,us70003net,2019-05-20T21:44:46.040Z,"92km NNE of Tobelo, Indonesia",earthquake,10.3,1.9,0.128,18,reviewed,us,us
2019-05-20T04:36:18.955Z,63.599,-149.942,133.6,2.7,ml,,,,0.4,ak,ak0196flu2qg,2019-05-20T04:54:54.040Z,"54km WNW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-05-20T04:25:01.560Z,19.4171,-65.5046,41,2.66,md,5,326,1.2502,0.29,pr,pr2019140002,2019-05-20T07:19:45.594Z,"115km NNE of Vieques, Puerto Rico",earthquake,3.78,21.52,0.38,4,reviewed,pr,pr
2019-05-20T04:15:54.290Z,-25.9988,-175.2502,10,5,mb,,199,8.464,0.82,us,us70003neh,2019-05-20T04:37:45.040Z,"South of Tonga",earthquake,13.9,1.9,0.106,28,reviewed,us,us
2019-05-20T03:34:58.180Z,18.2713,-68.9751,150,2.89,md,15,171,0.9611,0.13,pr,pr2019140001,2019-05-20T21:27:28.040Z,"25km S of La Romana, Dominican Republic",earthquake,1.53,0.88,0.43,13,reviewed,pr,pr
